Measure:mean	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-3_ses-1_T1w	37.9724	43.3967	87.0911	62.2296	85.7414	79.7019	84.4871	94.911	43.5635	36.0654	80.874	71.2183	68.3345	51.7394	74.7692	87.7698	63.0	51.4395	36.1945	44.1686	88.055	64.0439	85.722	79.6224	85.5995	98.9248	71.059	67.075	75.9869	86.9429	60.7778	52.0705	0.0	75.4286	0.0	0.0	0.0	0.0	0.0	75.6316	103.9282	85.051	85.4696	94.6977	101.7746
sub-3_ses-2_T1w	36.3471	43.8833	85.9722	62.7887	85.6435	80.7879	87.4641	99.5632	43.9047	37.6498	81.2717	71.0259	73.7492	51.5043	79.6619	90.3542	62.5	51.5315	34.4588	43.4171	86.3974	63.6413	84.996	78.0603	85.5786	96.0526	70.9365	68.3001	77.09	89.1068	60.1429	53.5136	0.0	71.2189	0.0	0.0	0.0	0.0	0.0	80.9262	101.0511	84.546	85.5	92.2991	103.1066
sub-3_ses-3_T1w	35.7278	41.9767	85.4376	62.1616	85.4977	77.2164	85.7757	97.7087	42.9139	34.2824	82.3001	70.5445	70.6076	49.436	77.2202	91.1032	63.0	52.6486	34.3628	44.9077	85.0461	61.7246	85.3068	77.7258	84.4719	97.9795	70.0178	68.8782	76.1519	89.505	57.6429	52.367	0.0	71.5708	0.0	0.0	0.0	0.0	0.0	74.2076	102.2478	86.866	87.3022	94.531	102.4731
sub-3_ses-4_T1w	37.5737	48.2692	83.2076	60.9852	84.8216	77.9441	85.6033	95.8844	42.597	34.198	81.6592	71.8472	70.9207	50.2753	75.63	87.0597	61.5333	52.3577	34.9723	41.8447	84.1148	61.3194	84.5938	76.4549	83.9148	96.4344	70.2265	67.1133	76.3619	86.5809	58.0	52.5866	0.0	71.4608	0.0	0.0	0.0	0.0	0.0	76.2671	100.8299	84.0961	84.7934	91.5176	102.3348
sub-3_ses-5_T1w	35.7003	42.963	85.8175	62.3346	85.9862	80.9389	88.116	98.7672	42.0447	34.2083	82.339	68.9849	71.7489	49.833	77.7702	90.3674	63.1034	51.2409	33.3298	45.6744	86.3526	62.8656	84.987	76.4905	84.2439	97.4812	68.7446	67.1846	74.3054	88.2606	53.8125	53.499	0.0	68.9918	0.0	0.0	0.0	0.0	0.0	79.5447	104.0727	87.1062	86.2883	96.5642	105.8763
sub-3_ses-6_T1w	39.172	52.4711	84.2948	61.1581	87.665	80.9735	88.9607	99.9313	45.1681	36.3896	81.5796	73.4866	74.0379	53.6144	77.342	90.2889	64.5	53.7905	36.4941	44.8981	83.7295	61.2684	86.4967	77.7045	84.3885	97.5258	70.077	68.2081	74.848	87.4268	61.0909	53.1574	0.0	71.1949	0.0	0.0	0.0	0.0	0.0	75.4604	100.1966	84.0139	85.9881	92.9876	101.734
sub-3_ses-7_T1w	35.042	45.0805	87.1479	60.8035	82.3841	77.0469	85.19	96.5452	42.9585	35.5638	82.2156	69.0192	69.9912	48.5192	75.0333	90.1343	63.2857	49.8249	33.2519	43.0168	91.6205	66.4605	84.124	77.5233	84.4216	96.4386	70.3752	69.6548	76.4455	89.5371	59.2727	52.4236	0.0	68.681	0.0	0.0	0.0	0.0	0.0	65.8943	99.0455	81.6481	84.5189	91.0038	96.8324
sub-3_ses-8_T1w	36.6292	48.7286	86.6483	64.1658	87.0247	79.661	86.977	97.4814	43.2541	36.1749	81.8374	70.1043	69.4071	50.5458	78.5263	90.1208	62.1852	53.702	35.1108	35.5187	86.3692	63.2649	85.4936	77.3921	85.6636	98.0445	69.2873	69.4324	76.5033	86.6266	60.75	52.4121	0.0	71.042	0.0	0.0	0.0	0.0	0.0	76.7357	101.6813	86.5552	87.3717	92.0993	101.4905
sub-3_ses-9_T1w	39.2471	46.8152	86.0194	64.0264	87.268	81.5078	86.8349	98.3316	47.4482	37.6386	83.1012	72.6354	70.0393	53.2674	78.8856	90.7769	66.3529	52.8755	36.2541	45.9664	87.2011	64.369	85.7071	77.2978	86.0047	97.8997	72.3317	70.976	75.9271	90.2728	61.0769	53.94	0.0	72.5785	0.0	0.0	0.0	0.0	0.0	79.2604	97.7315	83.8883	87.6409	93.7389	99.9182
sub-3_ses-10_T1w	38.4979	47.8045	84.4016	61.1919	84.4834	78.9232	86.7437	97.0276	42.8631	36.217	80.699	70.0185	70.8132	50.4134	76.6083	87.9343	61.1429	52.3677	37.3575	46.428	85.7708	62.5459	84.6603	78.3027	85.5153	97.6095	69.5654	69.3163	75.8655	85.904	59.6667	53.4462	0.0	72.5642	0.0	0.0	0.0	0.0	0.0	79.8049	102.0508	90.218	90.7412	97.5961	104.3083
sub-3_ses-11_T1w	35.7477	42.4537	85.2724	61.5639	85.7969	80.0064	85.0253	96.8971	41.5889	33.7275	81.5875	68.2535	69.4371	49.1892	75.8554	88.2625	60.3846	52.0039	33.244	42.5411	85.8886	62.4751	82.9715	74.5591	83.177	94.6539	68.5965	67.5575	71.3367	85.4193	58.4706	51.6176	0.0	71.6487	0.0	0.0	0.0	0.0	0.0	76.4176	103.2188	86.6495	87.763	94.0495	104.932
sub-3_ses-12_T1w	37.8642	48.1583	84.6849	63.1165	87.2178	78.5831	86.4168	96.8444	43.8829	36.1181	82.7443	71.0029	71.2365	53.0174	77.3759	89.9653	61.6923	52.3047	36.6165	45.0407	84.7909	63.6625	85.6782	75.9695	85.0757	96.2601	70.3547	68.5234	74.9203	88.2342	57.3333	54.5583	0.0	70.0049	0.0	0.0	0.0	0.0	0.0	74.1562	102.1079	84.5261	85.6605	92.2366	100.58
sub-3_ses-13_T1w	36.8962	46.7157	82.8563	60.6956	84.9272	79.4461	85.2792	97.2115	42.671	35.7012	80.902	69.9273	70.469	50.2216	75.8257	88.9545	59.8462	51.8027	34.2008	44.1465	84.2614	61.6182	84.1479	75.7441	84.2771	95.2117	68.9238	67.397	74.5654	86.6029	59.8696	52.7785	0.0	69.4393	0.0	0.0	0.0	0.0	0.0	73.8418	99.1368	84.973	88.0813	93.3183	100.011
sub-3_ses-14_T1w	37.5929	47.1655	86.6941	64.6127	85.7655	77.8732	85.4235	95.8785	44.63	39.1006	82.6445	70.7731	70.693	52.7213	75.2854	88.8505	58.9412	53.6726	37.0674	43.7212	87.9188	66.1023	86.2138	77.1315	84.6655	95.9375	71.1794	67.7961	76.7571	89.0555	57.2857	54.4941	0.0	71.8726	0.0	0.0	0.0	0.0	0.0	81.7805	99.4166	85.5839	88.4354	94.5129	99.8834
sub-3_ses-15_T1w	39.5011	47.7654	84.92	62.8951	86.3734	79.1045	86.9186	97.9363	46.0237	38.7312	82.4117	72.1661	71.8511	52.9242	77.8957	90.1543	65.1538	51.7102	37.1272	47.2122	84.5321	62.9745	83.2445	75.6161	85.8207	96.2672	71.1985	70.1587	74.2066	87.812	63.1111	53.0607	0.0	70.6033	0.0	0.0	0.0	0.0	0.0	76.8247	99.0556	88.8193	89.8974	93.1808	100.1389
