lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	2567.0	1610.0	6803.0	2478.0	1938.0	11046.0	11914.0	12598.0	2186.0	12252.0	7574.0	6998.0	5166.0	12608.0	2049.0	3381.0	3864.0	2338.0	3245.0	2124.0	10335.0	2366.0	14307.0	8837.0	2730.0	15106.0	24932.0	13326.0	14446.0	11152.0	1062.0	2019.0	1123.0	6539.0	1116879.0	1566783.593869
sub-3_ses-2_T1w	2648.0	1758.0	6472.0	2880.0	2614.0	11851.0	12689.0	13120.0	2449.0	12720.0	7864.0	7316.0	5202.0	13149.0	2221.0	3758.0	3857.0	2285.0	3085.0	1948.0	10436.0	2255.0	14544.0	9294.0	3071.0	15977.0	23549.0	13594.0	14691.0	11536.0	1124.0	2392.0	1002.0	6696.0	1137783.0	1565688.685682
sub-3_ses-3_T1w	2754.0	1685.0	6762.0	2859.0	2428.0	12121.0	12889.0	13833.0	2624.0	12523.0	7829.0	7069.0	5225.0	13120.0	2139.0	3837.0	3830.0	2427.0	3098.0	1875.0	10211.0	2523.0	14710.0	9498.0	2814.0	15450.0	23860.0	13492.0	14506.0	11588.0	961.0	2167.0	1016.0	6497.0	1149373.0	1550058.179852
sub-3_ses-4_T1w	2595.0	1900.0	7011.0	2842.0	2227.0	11679.0	12389.0	13440.0	2439.0	12982.0	8222.0	7087.0	5302.0	13043.0	2115.0	3910.0	3885.0	2296.0	3098.0	1916.0	10439.0	2131.0	14816.0	9254.0	2979.0	15568.0	23988.0	13764.0	15385.0	11673.0	1083.0	2277.0	1125.0	6394.0	1149541.0	1556418.483233
sub-3_ses-5_T1w	2664.0	1926.0	6804.0	2635.0	2681.0	11643.0	12332.0	12983.0	2518.0	12335.0	7763.0	6963.0	4913.0	12898.0	2272.0	3917.0	3930.0	2410.0	3112.0	1995.0	10648.0	2396.0	14743.0	9177.0	2814.0	15539.0	23800.0	13525.0	14376.0	11340.0	955.0	1957.0	1087.0	6372.0	1148913.0	1549572.411905
sub-3_ses-6_T1w	2707.0	1903.0	6686.0	2659.0	2503.0	11657.0	13001.0	12383.0	2369.0	12175.0	8000.0	7022.0	5367.0	12591.0	2183.0	3847.0	3890.0	2339.0	3070.0	1919.0	10416.0	2242.0	14717.0	9575.0	2750.0	15029.0	23686.0	13507.0	14360.0	11518.0	1005.0	1725.0	1092.0	6401.0	1145720.0	1553271.016738
sub-3_ses-7_T1w	2482.0	1710.0	6679.0	2626.0	2138.0	11418.0	11214.0	12157.0	2466.0	12406.0	7622.0	6843.0	5029.0	11961.0	2254.0	3311.0	3609.0	2448.0	2974.0	1770.0	9943.0	2233.0	13705.0	8626.0	2883.0	14673.0	23682.0	12649.0	14055.0	11136.0	991.0	1941.0	936.0	5820.0	1143555.0	1565207.164871
sub-3_ses-8_T1w	2614.0	1992.0	6921.0	2682.0	2129.0	12085.0	12714.0	12706.0	2397.0	12421.0	7927.0	7248.0	4922.0	12760.0	2232.0	3842.0	3782.0	2334.0	3053.0	1917.0	10423.0	2171.0	14604.0	9218.0	2463.0	15534.0	23653.0	13581.0	14153.0	11431.0	971.0	2146.0	1074.0	6989.0	1143933.0	1559403.122972
sub-3_ses-9_T1w	2815.0	1895.0	6758.0	2782.0	2127.0	11092.0	12864.0	13283.0	2523.0	12539.0	7766.0	6724.0	5248.0	12906.0	2119.0	3680.0	3678.0	2435.0	2798.0	1884.0	10334.0	2144.0	14345.0	9263.0	2667.0	15361.0	24217.0	13522.0	14611.0	11338.0	951.0	2164.0	1018.0	6288.0	1154182.0	1564013.863215
sub-3_ses-10_T1w	2620.0	1904.0	6851.0	2759.0	2292.0	11768.0	12753.0	13276.0	2499.0	12930.0	7990.0	7213.0	5305.0	12804.0	2170.0	3937.0	3905.0	2498.0	3106.0	1916.0	10428.0	2467.0	14974.0	9447.0	2791.0	15201.0	24633.0	13927.0	14261.0	11677.0	1013.0	2603.0	1103.0	6873.0	1143125.0	1552142.127839
