Measure:mean	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-3_ses-1_T1w.long.sub-3_base	35.3007	43.3688	83.0831	59.9387	84.373	77.6236	82.8548	92.642	41.454	35.2989	78.9963	69.5891	68.1826	51.691	71.8561	84.9442	64.4074	51.3704	33.7065	41.9878	83.3507	60.0591	83.4724	77.0455	80.8181	92.6689	67.4942	65.4396	73.3064	84.1519	61.9574	52.4363	0.0	74.238	0.0	0.0	62.0	0.0	0.0	77.1126	99.8465	85.2485	85.3496	94.1786	102.3499
sub-3_ses-2_T1w.long.sub-3_base	34.8626	40.5814	82.5854	60.8341	83.3294	78.2062	84.674	94.1178	42.5788	36.8662	79.6435	69.3218	71.2213	51.6207	76.6394	87.2269	61.1842	52.1084	33.274	40.1905	82.9221	61.1238	82.7595	75.7944	82.5479	91.6722	68.0272	66.1876	74.5532	85.4391	57.0769	52.0308	0.0	69.3287	0.0	0.0	73.0	0.0	0.0	80.125	100.2577	83.9721	84.095	92.7527	101.0994
sub-3_ses-3_T1w.long.sub-3_base	33.8582	41.6716	82.6365	59.7413	83.3527	76.1236	82.9318	93.851	40.596	34.7256	79.3775	66.9775	67.1552	51.1975	72.0504	86.7991	61.36	51.5165	32.4822	39.2985	82.6393	59.8255	83.172	75.0529	80.7864	93.3514	66.0397	65.855	71.5472	85.3711	57.7895	52.0349	0.0	69.0799	0.0	0.0	68.0	0.0	0.0	75.2194	100.5994	84.248	84.0796	96.309	102.1649
sub-3_ses-4_T1w.long.sub-3_base	33.8329	41.7316	82.2602	59.9636	84.2909	77.7939	84.4042	94.6828	40.8199	34.0734	78.7612	68.7275	68.2404	51.1561	71.8656	85.2932	60.9016	52.2821	32.0161	40.0079	82.8354	60.0424	83.3636	75.243	80.4547	92.7345	67.362	65.179	72.442	84.4602	58.0345	52.4026	59.0	69.3543	0.0	0.0	0.0	0.0	0.0	74.3028	100.6325	84.6768	85.1218	96.0612	104.3825
sub-3_ses-5_T1w.long.sub-3_base	33.6851	41.7317	82.8469	59.7725	82.9041	77.4994	83.8523	93.5069	40.775	34.6254	80.0146	67.2424	68.9786	50.6696	73.5248	86.2828	60.5132	50.8703	31.7087	39.7567	83.4714	60.1318	82.1761	74.4748	80.005	92.0505	66.7324	65.7428	70.9155	84.727	57.1807	51.4637	53.3333	70.709	0.0	0.0	0.0	0.0	0.0	79.5467	100.2877	83.8571	83.9628	96.1314	102.7594
sub-3_ses-6_T1w.long.sub-3_base	34.3946	42.8795	82.5942	60.0206	84.7605	77.9954	84.4194	95.0448	40.3688	35.0556	79.0923	69.4177	69.4904	51.6584	71.4858	85.7308	61.6512	52.1398	32.8815	40.3529	82.7013	60.3614	84.1147	75.8376	81.0541	93.5758	67.6846	65.0032	71.0102	84.1528	58.507	52.2386	58.0	69.1781	0.0	0.0	57.0	0.0	0.0	74.2063	100.2346	85.1965	86.3398	94.4656	102.2749
sub-3_ses-7_T1w.long.sub-3_base	33.6654	44.022	83.1791	58.6579	82.7396	76.9238	83.544	94.0577	40.347	34.7623	78.313	66.6693	67.8563	51.645	73.2457	87.1873	60.9365	51.8788	33.0806	40.8047	83.507	59.8935	83.2522	76.0782	81.5911	92.8849	67.2359	66.6076	73.7913	85.914	60.2453	53.2672	0.0	68.1042	0.0	0.0	62.8	0.0	0.0	65.8435	100.6446	85.6607	85.6241	93.7231	99.1146
sub-3_ses-8_T1w.long.sub-3_base	32.0366	39.4933	82.7004	60.6901	83.294	76.9552	83.2588	93.1641	39.5513	34.5478	78.7972	66.567	66.5522	49.7718	73.4823	85.711	59.1579	51.6183	31.2724	36.8755	83.2932	60.5183	82.3109	74.9543	80.879	93.2768	67.241	66.9314	71.056	83.7737	57.9167	51.9212	57.0	70.1702	0.0	0.0	59.0	0.0	0.0	76.9732	100.5217	84.2554	85.0369	94.842	103.0257
sub-3_ses-9_T1w.long.sub-3_base	36.8466	43.7949	82.3293	60.7369	84.8941	79.2642	84.129	94.4718	43.7009	35.5944	79.1594	68.6748	67.3734	52.6261	73.9473	85.8729	62.9298	52.2868	34.7158	42.6828	82.8783	60.9675	83.8046	75.4347	82.3652	93.7433	68.6467	67.7539	72.5445	84.8547	59.0727	52.2465	0.0	69.2196	0.0	0.0	0.0	0.0	0.0	79.5868	99.79	84.9177	86.2587	94.4833	101.9865
sub-3_ses-10_T1w.long.sub-3_base	33.8421	41.4698	82.6831	60.0553	82.9417	76.6145	82.6712	92.5375	40.3802	34.8367	79.881	67.1256	67.4365	50.2043	72.102	85.8287	59.7037	51.1032	32.4023	39.6419	82.9778	60.0204	81.8515	74.2199	80.7793	92.3031	66.6911	66.1426	71.5937	84.2036	57.9538	51.5821	0.0	69.2544	0.0	0.0	70.0	0.0	0.0	78.2789	99.4427	83.9721	83.8985	96.4607	103.3959
