lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w.long.sub-3_base	2736.0	1840.0	7054.0	2967.0	2317.0	11319.0	13083.0	13599.0	2325.0	12349.0	7679.0	6971.0	5265.0	12854.0	2026.0	3754.0	3973.0	2415.0	3238.0	2210.0	10913.0	2353.0	14734.0	9401.0	3155.0	16642.0	24345.0	14042.0	14290.0	12046.0	994.0	2017.0	1122.0	7080.0	1132380.0	1555417.948757
sub-3_ses-2_T1w.long.sub-3_base	2781.0	1815.0	6689.0	2968.0	2257.0	11448.0	12982.0	13803.0	2398.0	12674.0	7798.0	7273.0	5036.0	12736.0	2180.0	3857.0	3779.0	2312.0	3076.0	2218.0	10573.0	2293.0	14583.0	9361.0	3127.0	15728.0	23746.0	13809.0	14290.0	11587.0	1020.0	2135.0	1167.0	6887.0	1139081.0	1555417.948757
sub-3_ses-3_T1w.long.sub-3_base	2784.0	1799.0	6960.0	3055.0	2382.0	11570.0	13437.0	13791.0	2412.0	12923.0	7907.0	7304.0	5126.0	12904.0	2276.0	3850.0	3890.0	2447.0	3150.0	2185.0	10838.0	2334.0	15015.0	9696.0	3099.0	16061.0	24303.0	14113.0	14401.0	12055.0	1027.0	2167.0	1160.0	7025.0	1144594.0	1555417.948757
sub-3_ses-4_T1w.long.sub-3_base	2756.0	1856.0	6933.0	2956.0	2360.0	11485.0	13430.0	13822.0	2432.0	12930.0	7962.0	7113.0	5249.0	12918.0	2192.0	4004.0	3946.0	2349.0	3140.0	2165.0	10830.0	2337.0	15110.0	9589.0	3143.0	16126.0	24515.0	14176.0	14638.0	11950.0	1020.0	2144.0	1156.0	6623.0	1146359.0	1555417.948757
sub-3_ses-5_T1w.long.sub-3_base	2768.0	1870.0	6920.0	3024.0	2308.0	11406.0	13416.0	13874.0	2414.0	12948.0	7948.0	7089.0	5253.0	13010.0	2161.0	4032.0	3891.0	2417.0	3143.0	2235.0	10939.0	2381.0	15202.0	9518.0	3160.0	16285.0	24311.0	14113.0	14504.0	11927.0	1026.0	2051.0	1166.0	6727.0	1148343.0	1555417.948757
sub-3_ses-6_T1w.long.sub-3_base	2741.0	1814.0	6851.0	2977.0	2336.0	11229.0	13285.0	13229.0	2382.0	12552.0	7776.0	7081.0	5344.0	12743.0	2091.0	3884.0	3797.0	2360.0	3071.0	2202.0	10772.0	2336.0	14972.0	9688.0	3113.0	15876.0	24100.0	14075.0	14341.0	11797.0	1038.0	1850.0	1145.0	6717.0	1136717.0	1555417.948757
sub-3_ses-7_T1w.long.sub-3_base	2554.0	1782.0	6877.0	2937.0	2266.0	10915.0	12432.0	12513.0	2330.0	12090.0	7919.0	7027.0	5087.0	11986.0	2185.0	3584.0	3644.0	2416.0	3080.0	2071.0	10549.0	2273.0	14254.0	9198.0	3114.0	15847.0	23863.0	13297.0	14033.0	11389.0	1023.0	2056.0	1016.0	6462.0	1128608.0	1555417.948757
sub-3_ses-8_T1w.long.sub-3_base	2825.0	1868.0	6894.0	2953.0	2395.0	11476.0	13635.0	13928.0	2431.0	13007.0	8079.0	7183.0	5351.0	13007.0	2178.0	4046.0	3910.0	2444.0	3251.0	1898.0	11004.0	2399.0	15106.0	9811.0	3172.0	16370.0	24476.0	14191.0	14522.0	12033.0	1017.0	2047.0	1122.0	6573.0	1146081.0	1555417.948757
sub-3_ses-9_T1w.long.sub-3_base	2826.0	1846.0	6846.0	2939.0	2256.0	11353.0	13512.0	13847.0	2426.0	13127.0	7942.0	7125.0	5150.0	13022.0	2180.0	3837.0	3832.0	2434.0	3112.0	2017.0	10793.0	2381.0	14869.0	9639.0	3103.0	16210.0	24241.0	14142.0	14473.0	11912.0	1008.0	1985.0	1087.0	6552.0	1153562.0	1555417.948757
sub-3_ses-10_T1w.long.sub-3_base	2850.0	1862.0	7013.0	3019.0	2384.0	11539.0	13739.0	13961.0	2420.0	13041.0	8004.0	7196.0	5288.0	12894.0	2140.0	3944.0	3914.0	2433.0	3189.0	2095.0	10953.0	2376.0	15143.0	9719.0	3168.0	16388.0	24671.0	14131.0	14417.0	12155.0	1033.0	2202.0	1149.0	6847.0	1146189.0	1555417.948757
